RC2-after,,
wcAi,DF,1st Diff
1.1,0,0.46
1.57,0.13,0.13
3.54,0.05,-0.08
4.13,0.04,-0.01
4.71,0.02,-0.02
5.81,0.05,0.03
5.83,0.07,0.02
11.62,-0.69,-0.76
12.48,-0.8,-0.11
20.06,0.19,0.99
26.07,0.23,0.04
31.6,0.25,0.02
39.42,-1.12,-1.37
46.08,0.2,1.32
46.09,0.21,0.01
49.12,0.2,-0.01
68.65,-0.58,-0.78
87.66,0.98,1.56
111.63,1.13,0.15
152.17,1.31,0.18
192.27,1.47,0.16
201.89,1.37,-0.1
206.93,1.24,-0.13
211.84,1.26,0.02
216.9,1.06,-0.2
222.02,0.93,-0.13
228.26,0.46,-0.47
234.72,0.49,0.03
252.15,0.67,0.18
274.96,0.91,0.24
277.59,0.94,0.03
281.39,1.21,0.27
284.85,1.13,-0.08
295.83,1.21,0.08
323.07,1.41,0.2
326.41,1.43,0.02
343.1,1.5,0.07
363.22,1.58,0.08
368.97,1.6,0.02
383.45,1.63,0.03
403.43,1.68,0.05
411.42,1.7,0.02
423.42,1.72,0.02
439.02,1.75,0.03
453.9,1.77,0.02
455.02,1.77,0
471.51,1.79,0.02
487,1.8,0.01
496.41,1.81,0.01
499.94,1.78,-0.03
503.53,1.81,0.03
507.14,1.9,0.09
513.23,1.92,0.02
529.44,1.98,0.06
545.55,2.03,0.05
545.78,2.03,0
557.55,2.1,0.07
561.57,2.33,0.23
566.87,2.49,0.16
572.16,2.64,0.15
577.25,2.2,-0.44
582.38,2.17,-0.03
583.94,2.05,-0.12
620.04,1.89,-0.16
660.51,2.01,0.12
700.98,2.14,0.13
741.39,2.21,0.07
781.78,2.25,0.04
822.16,2.28,0.03
862.53,2.3,0.02
902.88,2.3,0
943.19,2.26,-0.04
966.79,1.79,-0.47
983.3,1.91,0.12
1023.68,1.94,0.03
1063.96,1.87,-0.07
1104.17,1.74,-0.13
1144.24,1.47,-0.27
1184.38,1.26,-0.21
1224.46,0.98,-0.28
1264.58,0.76,-0.22
1304.76,0.59,-0.17
1345.05,0.54,-0.05
1385.21,0.37,-0.17
1425.28,0.11,-0.26
1446.78,0.36,0.25
1465.26,-0.08,-0.44
1477.75,-0.14,-0.06
1517.77,-0.44,-0.3
1557.82,-0.7,-0.26
1597.89,-0.95,-0.25
1637.96,-1.2,-0.25
1677.98,-1.48,-0.28
1718.1,-1.7,-0.22
1758.14,-1.98,-0.28
1797.95,-2.46,-0.48
1837.88,-2.86,-0.4
1877.97,-3.14,-0.28
