RC3-before,,
wcAi,Distortion,1st Ord Diff
1.18,-0.27,0.17
2.02,-0.02,0.25
2.85,0.06,0.08
3.32,0.15,0.09
3.79,0.19,0.04
5.05,0.25,0.06
6.98,0.38,0.13
8.89,0.42,0.04
13.86,0.5,0.08
15.75,0.02,-0.48
17.87,0.29,0.27
17.89,0.29,-3.55E-15
30.39,0.3,0.01
48.5,0.22,-0.08
66.91,0.23,0.01
85.35,0.2,-0.03
103.33,0.16,-0.04
121.75,0.11,-0.05
140.47,0.1,-0.01
158.95,0.02,-0.08
159.06,0.02,2.84E-14
161.12,0.01,-0.01
163.61,0.01,2.84E-14
177.43,-0.03,-0.04
195.8,-0.1,-0.07
214.41,-0.03,0.07
214.47,-0.03,0
225.35,-0.09,-0.06
232.78,-0.13,-0.04
232.91,-0.13,0
241.3,-0.15,-0.02
250.7,-0.17,-0.02
250.72,-0.17,2.84E-14
257.61,-0.19,-0.02
266.6,-0.21,-0.02
266.67,-0.21,0
266.69,-0.21,0
286.8,-0.47,-0.26
290,-0.51,-0.04
290.67,-0.52,-0.01
294.58,-0.54,-0.02
301.48,-0.54,5.68E-14
335.22,-0.54,0
377.17,-0.59,-0.05
417.65,-0.64,-0.05
460.07,-0.69,-0.05
503.19,-0.77,-0.08
542.06,-0.91,-0.14
545.76,-1.55,-0.64
549.94,-0.98,0.57
561.86,-0.84,0.14
595.8,-0.84,0
604.89,-0.9,-0.06
645.19,-0.99,-0.09
685.47,-1.06,-0.07
725.78,-1.1,-0.04
766.05,-1.17,-0.07
806.34,-1.2,-0.03
846.63,-1.26,-0.06
886.91,-1.34,-0.08
927.18,-1.4,-0.06
967.48,-1.45,-0.05
1007.74,-1.54,-0.09
1048.06,-1.56,-0.02
1088.38,-1.59,-0.03
1128.65,-1.68,-0.09
1168.95,-1.72,-0.04
1209.13,-1.85,-0.13
1249.41,-1.87,-0.02
1289.66,-1.92,-0.05
1329.91,-2,-0.08
1370.23,-2.01,-0.01
1410.48,-2.09,-0.08
1450.8,-2.08,0.01
1491.08,-2.13,-0.05
1526.52,-2.15,-0.02
1566.79,-2.2,-0.05
1607.1,-2.23,-0.03
1647.4,-2.29,-0.06
1687.76,-2.25,0.04
1728.05,-2.31,-0.06
1768.35,-2.37,-0.06
1808.63,-2.43,-0.06
1848.93,-2.47,-0.04
1889.21,-2.48,-0.01
1929.55,-2.51,-0.03
1969.86,-2.55,-0.04
2010.12,-2.61,-0.06
