RC4-before,,
wcAi,Distortion,1st Diff
6.97,-0.38,-0.17
8.35,0.43,0.81
9.82,0.28,-0.15
16.89,-0.42,-0.7
18.44,-0.71,-0.29
20.03,-0.44,0.27
51.1,-0.23,0.21
52.7,-0.29,-0.06
54.27,-0.35,-0.06
60.96,-0.47,-0.12
104.85,-0.28,0.19
106.42,-0.33,-0.05
107.99,-0.39,-0.06
126.67,-0.64,-0.25
170.53,-0.46,0.18
214.36,-0.35,0.11
258.21,-0.21,0.14
302.05,-0.07,0.14
345.89,0.1,0.17
389.76,0.3,0.2
433.56,0.48,0.18
477.43,0.74,0.26
521.25,0.97,0.23
564.72,1.19,0.22
564.98,1.19,0
608.11,1.32,0.13
651.87,1.48,0.16
695.62,1.5,0.02
739.34,1.57,0.07
783.12,1.61,0.04
826.82,1.77,0.16
870.49,1.82,0.05
914.24,1.9,0.08
920.65,1.91,0.01
964.41,2.04,0.13
1008.06,2.16,0.12
1051.76,2.17,0.01
1095.41,2.19,0.02
1139.12,2.37,0.18
1182.8,2.45,0.08
1226.46,2.5,0.05
1227.51,2.5,0
1270.04,2.49,-0.01
1313.66,2.51,0.02
1357.36,2.61,0.1
1400.67,2.59,-0.02
1442.6,2.62,0.03
1484.48,2.64,0.02
1510.12,2.63,-0.01
1539.69,2.58,-0.05
1565.62,2.57,-0.01
1590.62,2.53,-0.04
1634.31,2.41,-0.12
1677.96,2.43,0.02
1719.7,2.44,0.01
1761.67,2.39,-0.05
1805.24,2.29,-0.1
1848.86,2.2,-0.09
1866.16,2.21,0.01
1891.27,2.04,-0.17
1934.63,1.95,-0.09
1978.28,1.9,-0.05
2021.64,1.69,-0.21
2065.24,1.55,-0.14
2108.89,1.47,-0.08
2152.45,1.44,-0.03
2196.08,1.4,-0.04
2239.7,1.38,-0.02
2283.08,1.38,4.55E-13
2326.69,1.36,-0.02
2370.4,1.39,0.03
2414.01,1.27,-0.12
2457.72,1.36,0.09
2501.36,1.38,0.02
2545.02,1.27,-0.11
2588.66,1.31,0.04
2632.19,1.24,-0.07
2675.77,1.14,-0.1
2719.46,1.12,-0.02
2763.13,1.1,-0.02
2806.75,1.13,0.03
2850.38,1.16,0.03
2893.89,1.14,-0.02
2937.39,1.16,0.02
2981.02,1.09,-0.07
2991.95,1.04,-0.05
3001.25,1.09,0.05
3001.82,1.04,-0.05
3002.38,1,-0.04
3011.87,1.02,0.02
3024.67,0.99,-0.03
3068.02,0.82,-0.17
3111.52,0.65,-0.17
3155.09,0.58,-0.07
3198.8,0.64,0.06
3242.44,0.6,-0.04
3286.13,0.62,0.02
3329.18,0.6,-0.02
3372.87,0.62,0.02
3416.39,0.61,-0.01
3460.08,0.66,0.05
3503.78,0.65,-0.01
3547.48,0.71,0.06
3591.19,0.68,-0.03
3634.78,0.73,0.05
3678.4,0.58,-0.15
3722.02,0.55,-0.03
3765.54,0.39,-0.16
3808.76,0.32,-0.07
3818.47,0.32,-4.55E-13
3852.35,0.32,0
3896.04,0.32,4.55E-13
3939.78,0.41,0.09
3983.33,0.29,-0.12
4026.89,0.16,-0.13
4070.52,0.09,-0.07
4114.07,-0.05,-0.14
4157.64,-0.17,-0.12
4201.23,-0.27,-0.1
4244.87,-0.41,-0.14
4288.43,-0.5,-0.09
4332.08,-0.57,-0.07
4375.61,-0.68,-0.11
4419.27,-0.77,-0.09
4462.89,-0.87,-0.1
4506.57,-0.95,-0.08
4550.26,-1,-0.05
4593.92,-1.07,-0.07
4637.57,-1.13,-0.06
4681.25,-1.21,-0.08
4724.94,-1.28,-0.07
4768.61,-1.38,-0.1
4807.56,-1.4,-0.02
4812.57,-1.34,0.06
4812.78,-1.35,-0.01
4813.12,-1.36,-0.01
4813.7,-1.39,-0.03
4818.7,-1.39,0
4862.37,-1.31,0.08
4905.91,-1.45,-0.14
4949.27,-1.47,-0.02
4987.39,-1.58,-0.11
4992.36,-1.51,0.07
4992.95,-1.57,-0.06
4993.49,-1.62,-0.05
4998.51,-1.61,0.01
5040.4,-1.65,-0.04
5082.24,-1.74,-0.09
5114.4,-1.79,-0.05
5155.03,-1.84,-0.05
5196.98,-1.87,-0.03
5238.98,-1.89,-0.02
5280.97,-1.89,9.09E-13
5322.97,-1.9,-0.01
5364.98,-1.91,-0.01
5405.25,-1.92,-0.01
5447.25,-1.9,0.02
5489.26,-1.79,0.11
5531.29,-1.7,0.09
5573.34,-1.59,0.11
5615.37,-1.55,0.04
5630.44,-1.66,-0.11
5630.79,-1.6,0.06
5631.13,-1.65,-0.05
